                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.624,                 1.2997,                 1.1077,                0.70244,                0.38163,                0.44962,                0.22773,                 1.5998,                 1.2379,                 1.0778,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.6197,                 1.2589,                 1.1048,                0.70031,                0.39663,                0.43252,                0.21294,                 1.6082,                 1.2233,                 1.0791,              0.0003466,              0.0003466,              0.0003466
                     36,                  1.661,                 1.2861,                 1.0846,                0.72462,                0.40888,                 0.4371,                  0.222,                 1.5952,                 1.2136,                  1.071,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.6208,                 1.2848,                 1.0993,                0.72118,                0.41356,                0.44431,                0.22793,                 1.5777,                 1.2153,                 1.0636,               0.000307,               0.000307,               0.000307
                     38,                 1.6033,                 1.2804,                 1.0768,                0.71872,                0.42758,                0.44966,                0.23539,                 1.5842,                 1.2193,                 1.0648,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.5735,                 1.2133,                 1.0744,                0.72859,                0.42127,                0.44584,                0.23377,                 1.5902,                 1.2054,                 1.0668,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.6101,                 1.2461,                 1.0678,                0.72035,                0.50215,                0.44356,                0.23471,                  1.599,                  1.197,                 1.0706,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.5481,                 1.3126,                  1.107,                0.73152,                0.44415,                0.44568,                0.23044,                 1.6149,                 1.1915,                 1.0764,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.5123,                    1.3,                 1.0933,                0.73927,                0.42534,                0.43043,                0.22477,                 1.6471,                 1.1957,                 1.0876,               0.000208,               0.000208,               0.000208
                     43,                 1.5677,                 1.3261,                 1.1019,                0.73496,                0.41117,                0.44262,                0.22751,                 1.6722,                 1.2185,                 1.0987,              0.0001882,              0.0001882,              0.0001882
                     44,                  1.706,                 1.3647,                 1.1176,                0.70207,                0.47771,                0.46567,                0.24144,                  1.687,                 1.2389,                 1.1061,              0.0001684,              0.0001684,              0.0001684
                     45,                  1.628,                  1.339,                 1.1244,                0.71106,                0.41514,                0.45886,                0.23427,                 1.6732,                   1.25,                 1.1018,              0.0001486,              0.0001486,              0.0001486
                     46,                  1.533,                 1.2853,                 1.0908,                  0.732,                0.39054,                0.46568,                0.23611,                 1.6397,                 1.2517,                 1.0889,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.5223,                 1.3024,                 1.0675,                0.70909,                0.46843,                0.47321,                0.23844,                 1.6128,                 1.2481,                 1.0817,               0.000109,               0.000109,               0.000109
                     48,                 1.5776,                 1.3018,                 1.0814,                0.71685,                0.45411,                0.47493,                0.24048,                 1.5974,                 1.2346,                 1.0763,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.5013,                 1.2719,                 1.0824,                 0.7243,                0.43127,                0.47433,                0.23992,                 1.5896,                 1.2185,                 1.0733,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.5516,                 1.2886,                 1.1045,                0.72018,                0.43427,                 0.4731,                0.23957,                 1.5834,                 1.2046,                 1.0711,               4.96e-05,               4.96e-05,               4.96e-05
